Timestamp,still01-bf-pid.DV01-LIT4003-level => (Aggregate=TimeAverage2),still01-bf-pid.CV01-plp4000a.cmdspd-hz => (Aggregate=TimeAverage2),still01-bf-pid.SP-pmp4000a.sp-% => (Aggregate=TimeAverage2),still01-bf-pid.PV01-fit4008.volumeflow => (Aggregate=TimeAverage2)
7/14/2025 4:32:24 PM,88.7879,42.539246,70.55,82.848150215
7/14/2025 4:32:29 PM,88.7879,42.455326,70.55,83.735317442
7/14/2025 4:32:34 PM,88.7879,42.34497,70.55,83.995125596
7/14/2025 4:32:39 PM,88.7879,42.332068,70.55,84.287478988
7/14/2025 4:32:44 PM,88.774284089,42.335342,70.55,83.399913258
7/14/2025 4:32:49 PM,88.713005,42.249742,70.55,83.600756224
7/14/2025 4:32:54 PM,88.7203175,42.134684,70.55,82.647395632
7/14/2025 4:32:59 PM,88.75363,42.245212,70.55,83.640401554
7/14/2025 4:33:04 PM,88.75363,42.069714,70.55,83.848137726
7/14/2025 4:33:09 PM,88.75363,42.141114,70.55,82.43200603
7/14/2025 4:33:14 PM,88.75363,42.285694,70.55,82.9362262108
7/14/2025 4:33:19 PM,88.75363,42.296326,70.55,83.2992710188
7/14/2025 4:33:24 PM,88.75363,42.0737,70.55,83.394007392
7/14/2025 4:33:29 PM,88.828801048,42.08325,70.55,82.114972152
7/14/2025 4:33:34 PM,88.85045,42.174668,70.55,82.096702033
7/14/2025 4:33:39 PM,88.85045,42.169392,70.55,83.134564352
7/14/2025 4:33:44 PM,88.862530688,42.142126,70.55,82.341663072
7/14/2025 4:33:49 PM,88.91972,42.25031,70.55,82.840835688
7/14/2025 4:33:54 PM,88.91972,42.413984,70.55,82.771600876
7/14/2025 4:33:59 PM,88.91972,42.396862,70.55,84.148337662
7/14/2025 4:34:04 PM,88.91972,42.24846,70.55,84.6560324
7/14/2025 4:34:09 PM,88.91972,42.380638,70.55,82.55245152
7/14/2025 4:34:14 PM,88.91972,42.44832,70.55,84.233635978
7/14/2025 4:34:19 PM,88.91972,42.656806,70.55,82.992797872
7/14/2025 4:34:24 PM,88.91972,42.62979,70.55,84.58897833
7/14/2025 4:34:29 PM,88.91972,42.550094,70.55,82.9168208088
7/14/2025 4:34:34 PM,88.91972,42.572594,70.55,82.3576954032
7/14/2025 4:34:39 PM,88.91972,42.39127,70.55,84.155133836
7/14/2025 4:34:44 PM,88.72029764,42.361862,70.55,83.261271764
7/14/2025 4:34:49 PM,88.71362,42.414024,70.55,82.882300232
7/14/2025 4:34:54 PM,88.71362,42.494,70.55,83.629772552
7/14/2025 4:34:59 PM,88.71362,42.490056,70.55,82.510071512
7/14/2025 4:35:04 PM,88.71362,42.57004,70.55,82.432161928
7/14/2025 4:35:09 PM,88.71362,42.46204,70.55,83.1611875892
7/14/2025 4:35:14 PM,88.659412676,42.443516,70.55,82.9237655456
7/14/2025 4:35:19 PM,88.6574,42.557302,70.55,83.65460045
7/14/2025 4:35:24 PM,88.6574,42.539324,70.55,83.768144706
7/14/2025 4:35:29 PM,88.6574,42.44424,70.55,83.049585264
7/14/2025 4:35:34 PM,88.6499319592,42.372508,70.55,83.053053438
7/14/2025 4:35:39 PM,88.611244,42.305682,70.55,84.068212224
7/14/2025 4:35:44 PM,88.6349673772,42.37219,70.55,84.22681182
7/14/2025 4:35:49 PM,88.694456973,42.362104,70.55,83.460979962
7/14/2025 4:35:54 PM,88.74454464,42.135042,70.55,83.321390544
