Timestamp,doubler01_steam_pid.PV01-tit4101.temp-F => (Aggregate=TimeAverage2),doubler01_steam-pid.CV01-FCV4108.cmdpos-% => (Aggregate=TimeAverage2),doubler01--steam-pid.SP.temp-F => (Aggregate=TimeAverage2),doubler01-steam-pid.lit4104.level-% => (Aggregate=TimeAverage2)
7/14/2025 11:40:23 PM,189.463908072,22.9997089639115,189.2,39.8450528538
7/14/2025 11:40:28 PM,189.47244,No Data,189.2,39.8100618934
7/14/2025 11:40:33 PM,189.467708532,No Data,189.2,39.7841874592
7/14/2025 11:40:38 PM,189.45818,No Data,189.2,39.7365689156
7/14/2025 11:40:43 PM,189.45818,No Data,189.2,39.7376698476
7/14/2025 11:40:48 PM,189.45818,No Data,189.2,39.8219176348
7/14/2025 11:40:53 PM,189.4551203,No Data,189.2,39.8613409128
7/14/2025 11:40:58 PM,189.44888,No Data,189.2,39.8237085138
7/14/2025 11:41:03 PM,189.44888,No Data,189.2,39.8128309338
7/14/2025 11:41:08 PM,189.44888,No Data,189.2,39.82020366
7/14/2025 11:41:13 PM,189.44888,No Data,189.2,39.884447958
