Timestamp,still01-steam-pid.SP => (Aggregate=TimeAverage2),still01-steam-pid.PV01-TIT4016 => (Aggregate=TimeAverage2),still01-steam-pid.PV03-TIT4009 => (Aggregate=TimeAverage2),still01-steam-pid.DV02-PIT4011 => (Aggregate=TimeAverage2),still01-steam-pid.DV04-FIT4054 => (Aggregate=TimeAverage2),still01-steam-pid.CV-FCV4054 => (Aggregate=TimeAverage2)
7/15/2025 12:38:57 AM,211.2,212.01952,199.190086545,1.0715734,4975.589636,37
7/15/2025 12:38:59 AM,211.2,212.01952,199.3286821,1.0715734,4981.216933,37
7/15/2025 12:39:01 AM,211.2,212.01952,199.36374,1.0715734,4999.79548135,37
7/15/2025 12:39:03 AM,211.2,212.01952,199.42303264,1.0715734,4995.45223125,37
7/15/2025 12:39:05 AM,211.2,212.01952,199.46758,1.0715734,5003.914788,37
7/15/2025 12:39:07 AM,211.2,212.23066891,199.46758,1.0715734,5024.32973575,37
7/15/2025 12:39:09 AM,211.2,212.3523,199.46758,1.0715734,5021.3191125,37
7/15/2025 12:39:11 AM,211.2,212.3523,199.46758,1.0715734,5037.9684549,37
7/15/2025 12:39:13 AM,211.2,212.3523,199.612230075,1.0715734,5041.9417515,37
7/15/2025 12:39:15 AM,211.2,212.4369475,199.72247,1.0715734,5033.5536601,37
7/15/2025 12:39:17 AM,211.2,212.4905,199.72247,1.0715734,5019.0556886,37
7/15/2025 12:39:19 AM,211.2,212.4905,199.72247,1.0715734,5006.3801059,37
7/15/2025 12:39:21 AM,211.2,212.4905,199.77091786,1.0715734,5019.545706,37
7/15/2025 12:39:23 AM,211.2,212.53567775,199.836323385,1.0715734,4999.1869085,37
7/15/2025 12:39:25 AM,211.2,212.56325,199.856622485,1.0715734,4995.73674935,37
7/15/2025 12:39:27 AM,211.2,212.56325,199.85571,1.0715734,5016.546185,37
7/15/2025 12:39:29 AM,211.2,212.56325,199.85571,1.0715734,5015.386277,36.944
7/15/2025 12:39:31 AM,211.2,212.56325,199.85571,0.9248336956,4956.6661307,36
7/15/2025 12:39:33 AM,211.2,212.57267025,199.91275909,0.8993437,4852.32394,36
7/15/2025 12:39:35 AM,211.2,212.57863,199.95953,0.8993437,4785.92912,36
7/15/2025 12:39:37 AM,211.2,212.57863,199.95953,0.8993437,4748.93748,36
7/15/2025 12:39:39 AM,211.2,212.542031725,199.95953,0.8993437,4723.87372,36
7/15/2025 12:39:41 AM,211.2,212.51878,199.95953,0.8993437,4724.875277,36
7/15/2025 12:39:43 AM,211.2,212.51878,199.95953,0.8993437,4714.469829,36
7/15/2025 12:39:45 AM,211.2,212.51878,199.95291798,0.79259048805,4705.474456,36
7/15/2025 12:39:47 AM,211.2,212.4378856,199.94724,0.77330685,4696.3436049,36
7/15/2025 12:39:49 AM,211.2,212.38573,199.94724,0.77330685,4693.0700859,36
7/15/2025 12:39:51 AM,211.2,212.38573,199.94724,0.77330685,4688.70224,36
7/15/2025 12:39:53 AM,211.2,212.38573,199.94724,0.77330685,4693.764972,36
7/15/2025 12:39:55 AM,211.2,212.38573,199.94724,0.77330685,4702.3208125,36
7/15/2025 12:39:57 AM,211.2,212.38573,199.88207206,0.77330685,4709.0108175,36
7/15/2025 12:39:59 AM,211.2,212.18414492,199.82611,0.77330685,4702.815937,36
7/15/2025 12:40:01 AM,211.2,212.0475,199.82611,0.77330685,4709.76558,36
7/15/2025 12:40:03 AM,211.2,212.0475,199.769341645,0.77330685,4710.346392,36
7/15/2025 12:40:05 AM,211.2,212.0475,199.7201,0.77330685,4702.16942375,36
7/15/2025 12:40:07 AM,211.2,212.0475,199.7201,0.77330685,4694.06319245,36
7/15/2025 12:40:09 AM,211.2,212.0475,199.7201,0.69047058047,4681.209593,36
7/15/2025 12:40:11 AM,211.2,212.0475,199.7201,0.67427963,4685.45773945,36
7/15/2025 12:40:13 AM,211.2,211.78809828,199.7201,0.67427963,4697.14501435,36
7/15/2025 12:40:15 AM,211.2,211.60858,199.7201,0.67427963,4699.3773823,36
7/15/2025 12:40:17 AM,211.2,211.60858,199.7201,0.67427963,4703.249576,36
7/15/2025 12:40:19 AM,211.2,211.492822,199.55759528,0.67427963,4685.35144665,36
7/15/2025 12:40:21 AM,211.2,211.41238,199.38345245,0.67427963,4687.4034525,36
7/15/2025 12:40:23 AM,211.2,211.41238,199.35574,0.67427963,4689.654031,36
7/15/2025 12:40:25 AM,211.2,211.41238,199.35574,0.67427963,4688.840885,36
7/15/2025 12:40:27 AM,211.2,211.41238,199.35574,0.67427963,4688.82167375,36
7/15/2025 12:40:29 AM,211.2,211.41238,199.29237775,0.67427963,4692.6965222,36
7/15/2025 12:40:31 AM,211.2,211.41238,199.23505,0.67427963,4700.1651094,36
7/15/2025 12:40:33 AM,211.2,211.41238,199.23505,0.67427963,4686.79539635,36
7/15/2025 12:40:35 AM,211.2,211.41238,199.168298515,0.67427963,4659.4818408,36
7/15/2025 12:40:37 AM,211.2,211.41238,199.10754,0.67427963,4655.3401755,36
7/15/2025 12:40:39 AM,211.2,211.41238,199.08474975,0.67427963,4680.06649805,36
7/15/2025 12:40:41 AM,211.2,211.112636,199.06413,0.67427963,4686.3641041,36
7/15/2025 12:40:43 AM,211.2,210.89558,199.06413,0.67427963,4660.34653475,36
7/15/2025 12:40:45 AM,211.2,210.89558,198.98964555,0.67427963,4642.04251,36
7/15/2025 12:40:47 AM,211.2,210.89558,198.9195,0.67427963,4649.243923,36
7/15/2025 12:40:49 AM,211.2,210.8014328,198.85736298,0.67427963,4665.01525985,36
7/15/2025 12:40:51 AM,211.2,210.73213,198.79802,0.67427963,4678.191048,36
7/15/2025 12:40:53 AM,211.2,210.73213,198.79802,0.67427963,4667.02236,36
7/15/2025 12:40:55 AM,211.2,210.73213,198.79802,0.67427963,4645.7124569,36
7/15/2025 12:40:57 AM,211.2,210.612431305,198.79802,0.61847962921,4641.08456,36.01
7/15/2025 12:40:59 AM,211.2,210.5245,198.663050495,0.6064789,4731.41192065,37
7/15/2025 12:41:01 AM,211.2,210.5245,198.53415,0.6064789,4863.6413836,37
7/15/2025 12:41:03 AM,211.2,210.5245,198.53415,0.6064789,4939.34534,37
7/15/2025 12:41:05 AM,211.2,210.5245,198.53415,0.6064789,4967.4168132,37
7/15/2025 12:41:07 AM,211.2,210.416709385,198.53415,0.6064789,4985.29684505,37
7/15/2025 12:41:09 AM,211.2,210.33589,198.53415,0.6064789,4981.2322032,37
7/15/2025 12:41:11 AM,211.2,210.33589,198.53415,0.6064789,4984.87356265,37
7/15/2025 12:41:13 AM,211.2,210.31200338,198.40829768,0.67058062785,4979.353232,37
7/15/2025 12:41:15 AM,211.2,210.29391,198.28543,0.684795,4968.4910425,37
7/15/2025 12:41:17 AM,211.2,210.29391,198.28543,0.684795,4958.486016,37
7/15/2025 12:41:19 AM,211.2,210.29391,198.28543,0.684795,4955.5913936,37
7/15/2025 12:41:21 AM,211.2,210.29391,198.28543,0.684795,4956.2937768,37
7/15/2025 12:41:23 AM,211.2,210.29391,198.25337719,0.684795,4965.8791225,37
7/15/2025 12:41:25 AM,211.2,210.35524413,198.224771995,0.684795,4980.5856804,37
7/15/2025 12:41:27 AM,211.2,210.40237,198.22778,0.684795,4966.7377376,37
7/15/2025 12:41:29 AM,211.2,210.40237,198.22778,0.684795,4927.10343625,37
7/15/2025 12:41:31 AM,211.2,210.40237,198.22778,0.684795,4917.6619138,37
7/15/2025 12:41:33 AM,211.2,210.40237,198.22778,0.684795,4933.082218,37
7/15/2025 12:41:35 AM,211.2,210.45437994,198.22778,0.684795,4943.3580775,37
7/15/2025 12:41:37 AM,211.2,210.49475,198.22778,0.684795,4951.3995956,37
7/15/2025 12:41:39 AM,211.2,210.49475,198.16717856,0.684795,4950.7155254,37
7/15/2025 12:41:41 AM,211.2,210.49475,198.10706,0.684795,4944.368536,37
7/15/2025 12:41:43 AM,211.2,210.49475,198.10706,0.684795,4934.89173275,37
7/15/2025 12:41:45 AM,211.2,210.49475,198.10706,0.684795,4939.32171995,37
7/15/2025 12:41:47 AM,211.2,210.53659026,198.10089735,0.684795,4951.6068866,37
7/15/2025 12:41:49 AM,211.2,210.57007,198.09471,0.684795,4973.9363035,37
7/15/2025 12:41:51 AM,211.2,210.57007,198.09471,0.684795,5061.74750835,37.985
7/15/2025 12:41:53 AM,211.2,210.57007,198.09471,0.75942496685,5213.6968025,38
7/15/2025 12:41:55 AM,211.2,210.57007,198.09471,0.77704465,5304.996298,38
7/15/2025 12:41:57 AM,211.2,210.57007,198.09184231,0.77704465,5340.746447,38
7/15/2025 12:41:59 AM,211.2,210.63658121,198.08894,0.77704465,5343.8890928,38
7/15/2025 12:42:01 AM,211.2,210.69078,198.08894,0.77704465,5357.5553092,38
7/15/2025 12:42:03 AM,211.2,210.69078,198.08894,0.77704465,5362.7153932,38
7/15/2025 12:42:05 AM,211.2,210.69078,198.1206167,0.83055815155,5361.4728475,38
7/15/2025 12:42:07 AM,211.2,210.7779165,198.15274,0.8433563,5359.1625292,38
7/15/2025 12:42:09 AM,211.2,210.84921,198.15274,0.8433563,5363.7747346,38
7/15/2025 12:42:11 AM,211.2,210.84921,198.15274,0.8433563,5350.898776,38
7/15/2025 12:42:13 AM,211.2,210.84921,198.15274,0.8433563,5321.8046185,38
7/15/2025 12:42:15 AM,211.2,210.84921,198.15274,0.8433563,5313.2121853,38
7/15/2025 12:42:17 AM,211.2,210.84921,198.15274,0.8433563,5348.57263855,38
7/15/2025 12:42:19 AM,211.2,211.01284505,198.15274,0.8433563,5364.219682,38
7/15/2025 12:42:21 AM,211.2,211.14836,198.15274,0.8433563,5377.750804,38
7/15/2025 12:42:23 AM,211.2,211.14836,198.15274,0.857723367145,5385.85406,38
7/15/2025 12:42:25 AM,211.2,211.14836,198.15274,0.86134887,5374.6664616,38
7/15/2025 12:42:27 AM,211.2,211.14836,198.15274,0.86134887,5360.2753464,38
7/15/2025 12:42:29 AM,211.2,211.14836,198.15274,0.86134887,5356.975336,38
7/15/2025 12:42:31 AM,211.2,211.14836,198.15274,0.86134887,5361.77890905,38
7/15/2025 12:42:33 AM,211.2,211.36503086,198.15274,0.86134887,5360.22572425,38
7/15/2025 12:42:35 AM,211.2,211.55072,198.15274,0.86134887,5341.740649,38
7/15/2025 12:42:37 AM,211.2,211.55072,198.37013828,0.86134887,5348.8853265,38
7/15/2025 12:42:39 AM,211.2,211.60629872,198.60191,0.86134887,5370.1334398,38
7/15/2025 12:42:41 AM,211.2,211.6548,198.60191,0.86134887,5376.576325,38
7/15/2025 12:42:43 AM,211.2,211.70797434,198.62392997,0.86134887,5362.435244,38
7/15/2025 12:42:45 AM,211.2,211.75494,198.6475,0.86134887,5344.7008535,38
7/15/2025 12:42:47 AM,211.2,211.75494,198.6475,0.86134887,5336.9991304,38
7/15/2025 12:42:49 AM,211.2,211.75494,198.6475,0.86134887,5343.57342475,38
7/15/2025 12:42:51 AM,211.2,211.75494,198.6475,0.86134887,5351.73359,38
7/15/2025 12:42:53 AM,211.2,211.75494,198.6475,0.86134887,5353.6945785,38
7/15/2025 12:42:55 AM,211.2,211.75494,198.6475,0.86134887,5357.6769712,38
7/15/2025 12:42:57 AM,211.2,211.75494,198.6475,0.86134887,5356.0875533,38
7/15/2025 12:42:59 AM,211.2,211.75494,198.6475,0.86134887,5352.10944215,38
7/15/2025 12:43:01 AM,211.2,211.885398,198.6475,0.86134887,5351.0757,38
7/15/2025 12:43:03 AM,211.2,212.01074,198.752623815,0.86134887,5337.1885365,38
7/15/2025 12:43:05 AM,211.2,212.01074,198.87093,0.86134887,5338.5516074,38
7/15/2025 12:43:07 AM,211.2,212.01074,198.87093,0.86134887,5344.65577445,38
7/15/2025 12:43:09 AM,211.2,212.01074,198.87093,0.86134887,5347.3197756,38
7/15/2025 12:43:11 AM,211.2,212.01074,198.87093,0.86134887,5343.6501775,38
7/15/2025 12:43:13 AM,211.2,212.01074,198.92343267,0.86134887,5341.545812,38
7/15/2025 12:43:15 AM,211.2,212.01074,198.99039,0.86134887,5352.6264684,38
7/15/2025 12:43:17 AM,211.2,212.01074,198.99039,0.86134887,5349.1322475,38
7/15/2025 12:43:19 AM,211.2,212.01074,199.029323125,0.86134887,5340.5994268,38
7/15/2025 12:43:21 AM,211.2,212.01074,199.08442735,0.86134887,5327.178702,37.048
7/15/2025 12:43:23 AM,211.2,212.01074,199.09093,0.913484609595,5213.6524905,37
7/15/2025 12:43:25 AM,211.2,212.01074,199.116319,0.9298134,5103.35604425,37
7/15/2025 12:43:27 AM,211.2,212.01074,199.14943,0.9298134,5044.09092315,37
7/15/2025 12:43:29 AM,211.2,212.01074,199.14943,0.9298134,5001.5406448,37
7/15/2025 12:43:31 AM,211.2,212.26907738,199.14943,0.9298134,4995.104464,37
7/15/2025 12:43:33 AM,211.2,212.558198725,199.14943,0.9298134,4987.613048,37
7/15/2025 12:43:35 AM,211.2,212.57155,199.18753902,0.9298134,4985.5795808,37
7/15/2025 12:43:37 AM,211.2,212.57155,199.23785,0.8756562574,4992.9688844,37
7/15/2025 12:43:39 AM,211.2,212.555857915,199.23785,0.8582716,5007.49714325,37
7/15/2025 12:43:41 AM,211.2,212.53896,199.24322408,0.8582716,4998.5655746,37
7/15/2025 12:43:43 AM,211.2,212.53896,199.25029,0.8582716,4981.7712792,37
7/15/2025 12:43:45 AM,211.2,212.53896,199.25029,0.8582716,4998.4625572,37
7/15/2025 12:43:47 AM,211.2,212.46264436,199.25029,0.8582716,5019.1544051,37
7/15/2025 12:43:49 AM,211.2,212.38112,199.2354508,0.8582716,5017.6349979,37
7/15/2025 12:43:51 AM,211.2,212.38112,199.21594,0.8582716,5019.0775971,37
7/15/2025 12:43:53 AM,211.2,212.38112,199.21594,0.8582716,5009.5104275,37
7/15/2025 12:43:55 AM,211.2,212.38112,199.21594,0.8582716,5004.7228618,37
7/15/2025 12:43:57 AM,211.2,212.38112,199.19264715,0.8582716,5006.4492744,37
7/15/2025 12:43:59 AM,211.2,212.38112,199.16139,0.8582716,5006.6240675,37
7/15/2025 12:44:01 AM,211.2,212.2922032,199.16139,0.8582716,5010.784743,37
7/15/2025 12:44:03 AM,211.2,212.19432,199.16139,0.8582716,5013.6001359,37
7/15/2025 12:44:05 AM,211.2,212.19432,199.16139,0.8582716,5011.9492125,37
7/15/2025 12:44:07 AM,211.2,212.19432,199.16139,0.8582716,5007.0370752,37
7/15/2025 12:44:09 AM,211.2,212.19432,199.16139,0.8582716,5012.6602762,37
7/15/2025 12:44:11 AM,211.2,212.19432,199.16139,0.8300538236,5017.051972,37
7/15/2025 12:44:13 AM,211.2,212.19432,199.16139,0.8205473,5014.6352982,37
7/15/2025 12:44:15 AM,211.2,212.19432,199.138038425,0.8205473,5005.1098536,37
7/15/2025 12:44:17 AM,211.2,212.19432,199.09274682,0.8205473,4994.3410255,37
7/15/2025 12:44:19 AM,211.2,212.04793804,199.07443,0.8205473,4988.3606451,37
7/15/2025 12:44:21 AM,211.2,211.8832,199.07443,0.8205473,4998.45828095,37
7/15/2025 12:44:23 AM,211.2,211.8832,199.07443,0.8205473,5009.249838,37
7/15/2025 12:44:25 AM,211.2,211.8832,199.07443,0.8205473,5008.9031715,37
7/15/2025 12:44:27 AM,211.2,211.8483808,199.07443,0.8205473,5012.4603528,37
7/15/2025 12:44:29 AM,211.2,211.8088,199.05638912,0.8205473,5019.7986254,37
7/15/2025 12:44:31 AM,211.2,211.8088,199.03863183,0.8205473,5018.6061447,37
