Timestamp,still01-lwc-pid.CV01-fcv4032-% => (Aggregate=TimeAverage2),still01-lwc-pid.enabled => (Aggregate=StartBound),still01-lwc-pid.SP01-fcv4034.SP-temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV01-pit4012-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV02-tit52001.temp => (Aggregate=TimeAverage2),still01-lwc-pid.DV03-pit52006-psi => (Aggregate=TimeAverage2),still01-lwc-pid.DV04-fit52101-gpm => (Aggregate=TimeAverage2),still01-lwc-pid.PV01-tit4033-prodtemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV02-tit4031-venttemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV03-tit4021-lwctemp => (Aggregate=TimeAverage2),still01-lwc-pid.PV04-WeightedCalc-tempT_4021 => (Aggregate=TimeAverage2)
7/15/2025 5:07:15 AM,17.502,True,148,0.3236599,77.58896904,42.9986150695,774.35497204,112.47786875,162.55798,174.31259,166.56404
7/15/2025 5:07:17 AM,21,True,148,0.32377023925,77.5889,42.98580496,773.73654925,115.007884595,163.314511125,174.31259,167.39450954
7/15/2025 5:07:19 AM,21,True,148,0.32681245,77.5889,42.917210056,786.491755,117.49735776,163.973425625,174.31259,167.41406
7/15/2025 5:07:21 AM,21,True,148,0.32105849402,77.5889,42.898525,792.9460225,120.44891008,164.64147982,174.31259,167.41406
7/15/2025 5:07:23 AM,21,True,148,0.15505257,77.5889,42.907606072,790.581865125,122.958454825,165.10764,174.31259,167.41406
7/15/2025 5:07:25 AM,21,True,148,0.15316959085,77.5889,42.9389008565,795.38598815,125.26584147,165.4759102,174.40281596,168.8097335
7/15/2025 5:07:27 AM,21,True,148,0.09711475,77.5889,42.93441994,797.42848525,127.47024297,166.15281317,174.87827,169.1738025
7/15/2025 5:07:29 AM,21,True,148,0.09712755146,77.5889,42.95987001,793.3098024,129.53685668,166.36472,174.87827,169.54710962
7/15/2025 5:07:31 AM,21,True,148,0.09753447,77.5889,42.94120116,789.78863185,131.49462726,166.457429075,174.87827,169.55685
7/15/2025 5:07:33 AM,21,True,148,0.0971280186,77.5889,42.952181265,792.84326348,133.6850259,166.59900584,174.913954775,170.085549625
7/15/2025 5:07:35 AM,21,True,148,0.08398609,77.588307615,42.93378,793.685371475,135.47175139,166.58364934,175.10484,170.1005
7/15/2025 5:07:37 AM,21,True,148,0.08398609,77.58429,42.93378,794.757454475,137.03964278,166.4989469,175.115546175,170.554821975
7/15/2025 5:07:39 AM,21,True,148,0.08398609,77.58429,42.93378,797.19997986,138.476680625,166.43051,175.17369,170.56815
7/15/2025 5:07:41 AM,21,True,148,0.08398609,77.58429,42.945668878,793.79601621,139.7717231,166.295637565,175.17369,170.9464791
7/15/2025 5:07:43 AM,21,True,148,0.08398609,77.58429,42.991493,795.5207258,140.89645265,166.09708,175.172198755,171.0817774
7/15/2025 5:07:45 AM,21,True,148,0.08398609,77.58429,42.991493,799.02819885,141.8868518,165.9453933,175.1641,171.165128085
7/15/2025 5:07:47 AM,21,True,148,0.08398609,77.58429,42.987540272,793.802670955,142.26290718,165.62399871,175.1570776,171.19899653
7/15/2025 5:07:49 AM,21,True,148,0.08398609,77.58175048,42.9778615145,795.73001512,142.31752994,165.48285,175.1185,171.17854912
7/15/2025 5:07:51 AM,21,True,148,0.08398609,77.56381,42.999344,791.10205905,141.75774031,165.48285,175.1185,171.0864124
7/15/2025 5:07:53 AM,21,True,148,0.08398609,77.56381,42.999344,799.0940864,140.83997659,165.48285,175.1185,171.08339
7/15/2025 5:07:55 AM,21,True,148,0.08398609,77.56381,42.999344,796.5695017,139.65565624,165.20349353,175.0828969,170.687057345
7/15/2025 5:07:57 AM,21,True,148,0.08398609,77.56381,42.99684507,794.24676195,137.984025485,164.78183,174.8858,170.67332
7/15/2025 5:07:59 AM,21,True,148,0.08398609,77.56381,42.987034,795.4978888,136.40873199,164.78183,174.8858,170.221155395
7/15/2025 5:08:01 AM,21,True,148,0.08398609,77.56381,42.987034,791.4307945,134.840714,164.58038495,174.85247883,170.20305
7/15/2025 5:08:03 AM,21,True,148,0.08398609,77.56381,42.987034,799.4552257,134.52472,164.27505,174.66513,169.70479072
7/15/2025 5:08:05 AM,21,True,148,0.08398609,77.56381,42.987034,798.8119461,131.905677925,164.27505,174.66513,169.68457
7/15/2025 5:08:07 AM,21,True,148,0.082658966655,77.56381,42.987034,793.4046632,129.9078163,164.27505,174.66513,169.09803326
7/15/2025 5:08:09 AM,21,True,148,0.026285075,77.5657139,42.987034,791.38880321,127.867158765,164.27505,174.66513,169.07423
7/15/2025 5:08:11 AM,21,True,148,0.026285075,77.57961,42.987034,791.48339056,127.42878,163.99725242,174.66513,169.07423
7/15/2025 5:08:13 AM,21,True,148,0.026285075,77.577357425,42.987294292,791.04610423,127.42878,163.501404065,174.66513,169.07423
7/15/2025 5:08:15 AM,21,True,148,0.026285075,77.56076,42.998419845,795.27571594,123.360524045,163.39615,174.66513,167.98909525
